阳光姐妹淘,2011,554987人评价
射雕英雄传之东成西就,1993,581150人评价
被解救的姜戈,2012,552339人评价
未麻的部屋,1997,281716人评价
恐怖直播,2013,593912人评价
哪吒闹海,39,232239人评价
我是山姆,2001,303612人评价
血战钢锯岭,2016,723155人评价
哈利·波特与火焰杯,4,569626人评价
头号玩家,1,1248757人评价
新世界,2013,357665人评价
七武士,1954,176811人评价
模仿游戏,2014,578895人评价
喜宴,1993,317283人评价
黑客帝国3：矩阵革命,22,409939人评价
花样年华,2000,536778人评价
头脑特工队,2015,548582人评价
电锯惊魂,2004,479215人评价
三块广告牌,2017,754557人评价
卢旺达饭店,2004,295973人评价
你的名字。,2016,1261326人评价
达拉斯买家俱乐部,2013,414053人评价
疯狂原始人,2013,773480人评价
上帝之城,2002,278166人评价
谍影重重3,3,384834人评价
英雄本色,1986,481861人评价
风之谷,1984,329579人评价
心迷宫,2014,464883人评价
惊魂记,1960,249764人评价
九品芝麻官,1994,588476人评价
纵横四海,1991,380013人评价
海街日记,2015,398966人评价
岁月神偷,1969,538785人评价
记忆碎片,2000,555086人评价
忠犬八公物语,1987,175295人评价
荒蛮故事,2014,401258人评价
爱在午夜降临前,2013,347404人评价
绿里奇迹,1999,289462人评价
爆裂鼓手,2014,523903人评价
小偷家族,2018,752463人评价
贫民窟的百万富翁,2008,690148人评价
色，戒,2007,675230人评价
真爱至上,2003,670251人评价
东邪西毒,1994,531101人评价
无敌破坏王,2012,486217人评价
疯狂的石头,2006,740256人评价
冰川时代,2002,561910人评价
雨中曲,39,195724人评价
黑天鹅,2010,733422人评价
你看起来好像很好吃,2010,304814人评价
恐怖游轮,2009,759983人评价
2001太空漫游,2001,281029人评价
雨人,1988,372178人评价
恋恋笔记本,2004,608059人评价
魔女宅急便,1989,415537人评价
茶馆,1982,101258人评价
遗愿清单,2007,395432人评价
城市之光,1931,128528人评价
萤火虫之墓,1988,379175人评价
可可西里,2004,272712人评价
大佛普拉斯,2017,397129人评价
无间道2,2003,411931人评价
牯岭街少年杀人事件,1991,253512人评价
虎口脱险,1966,228202人评价
源代码,2011,767184人评价
人工智能,2001,403323人评价
初恋这件小事,2010,916829人评价
海边的曼彻斯特,2016,457807人评价
背靠背，脸对脸,1994,103030人评价
东京教父,2003,186787人评价
罗生门,1950,283410人评价
小丑,2019,914236人评价
终结者2：审判日,2,312284人评价
青蛇,1993,474486人评价
奇迹男孩,2017,513125人评价
二十二,22,272851人评价
波西米亚狂想曲,2018,542418人评价
房间,2015,345868人评价
疯狂的麦克斯4：狂暴之路,2015,478506人评价
新龙门客栈,1992,401696人评价
无耻混蛋,2009,431538人评价
魂断蓝桥,1940,252795人评价
血钻,2006,342283人评价
千钧一发,1997,258023人评价
步履不停,2008,250856人评价
黑客帝国2：重装上阵,22,371119人评价
彗星来的那一夜,2013,504728人评价
战争之王,2005,330498人评价
崖上的波妞,2008,432852人评价
心灵奇旅,2020,857307人评价
爱乐之城,2016,789592人评价
谍影重重2,2,322728人评价
燃情岁月,1994,264074人评价
阿飞正传,1990,459810人评价
海洋,2009,149010人评价
谍影重重,2002,387829人评价
再次出发之纽约遇见你,2013,392330人评价
穿越时空的少女,2006,352663人评价
火星救援,2015,647646人评价
香水,2006,505672人评价
朗读者,2008,425736人评价
末路狂花,1991,211079人评价
地球上的星星,2007,188367人评价
我爱你,2011,151058人评价
完美陌生人,2016,488148人评价
千年女优,2001,225656人评价
驴得水,2016,847334人评价
聚焦,2015,253225人评价
浪潮,2008,253028人评价
肖申克的救赎,1995,2620035人评价
霸王别姬,1993,1945409人评价
阿甘正传,1994,1969789人评价
泰坦尼克号,1997,1930056人评价
这个杀手不太冷,1994,2121161人评价
美丽人生,1997,1210503人评价
千与千寻,2001,2046327人评价
辛德勒的名单,39,1009818人评价
盗梦空间,2010,1887687人评价
忠犬八公的故事,39,1291545人评价
星际穿越,2014,1578431人评价
楚门的世界,1998,1500993人评价
海上钢琴师,39,1535478人评价
三傻大闹宝莱坞,3,1712814人评价
机器人总动员,2008,1209020人评价
